島名,ふりがな,自治体,緯度,経度
越前松島,えちぜんまつしま,坂井市,36.255987,136.14755
雄島,おしま,坂井市,36.251755,136.118747
亀島,がめじま,福井市,36.125563,136.050977
鉾島,ほこじま,福井市,36.104644,136.037526
横島,よこしま,越前町,35.941081,135.989737
水島,みずしま,敦賀市,35.736915,136.041079
御神島,おがみしま,若狭町,35.634888,135.80517
鳥辺島,うべじま,若狭町,35.577979,135.836806
千島,ちしま,若狭町,35.602166,135.791936
沖の石,おきのいし,小浜市,35.574116,135.779607
児島,こじま,小浜市,35.524615,135.737479
双児島,ふたごじま,小浜市,35.520439,135.71516
袖崎,そでざき,小浜市,35.494168,135.701162
蒼島,あおしま,小浜市,35.497987,135.683553
冠者島,かんじゃじま,おおい町,35.520881,135.649773
赤礁,あかぐり,おおい町,35.523944,135.670643
髻島,もとどりじま,おおい町,35.546553,135.641026
葉積島,はせぎじま,高浜町,35.498015,135.568894
鷹島,たかしま,高浜町,35.496387,135.545773
稲島,いねしま,高浜町,35.496387,135.545773
名島,なじま,高浜町,35.517811,135.515923
風島,かぜじま,高浜町,35.535364,135.518433
